C6H6(GT),PT08.S2(NMHC),CO
14.6,1136,2.8
11.8,1044,3.3
15.4,1160,3.1
15.8,1173,2.4
19.8,1291,4.7
3.1,660,0.4
14.0,1117,3.6
2.3,602,0.7
6.6,837,1.7
17.5,1224,2.9
18.8,1264,4.2
3.1,656,0.4
8.2,909,2.0
8.8,931,1.6
7.2,866,1.6
6.5,836,1.6
19.5,1283,3.4
32.0,1597,7.2
8.5,919,1.0
14.2,1123,2.2
3.7,694,0.7
1.8,569,0.5
2.4,612,0.5
19.0,1267,2.9
23.7,1395,4.0
14.0,1116,2.3
4.5,738,1.6
14.6,1137,2.6
12.8,1077,2.6
3.3,671,0.9
5.9,807,1.8
10.6,998,2.4
16.4,1193,3.7
5.5,787,1.5
5.1,770,1.2
3.9,706,1.0
16.9,1206,3.0
7.5,880,1.9
14.3,1126,2.9
8.5,919,3.7
12.6,1071,3.1
7.5,878,2.5
8.2,909,3.5
19.5,1283,3.2
4.4,732,1.2
8.5,919,4.8
9.2,948,1.6
12.4,1064,2.2
12.4,1062,2.6
29.0,1527,6.4
17.3,1218,3.1
13.0,1083,2.1
21.6,1341,3.6
3.8,699,0.4
13.8,1110,2.7
23.2,1383,3.9
8.8,933,2.0
4.6,741,1.3
23.4,1388,3.9
2.2,596,0.8
17.0,1210,2.9
3.0,653,1.2
4.4,734,0.8
10.1,981,0.8
3.4,679,0.8
2.9,644,0.6
12.5,1067,3.4
7.7,885,1.3
4.6,743,0.7
15.5,1163,3.2
5.6,792,1.7
8.5,919,5.4
3.6,691,0.5
13.1,1088,2.2
3.2,666,0.5
8.6,923,2.4
10.9,1012,3.1
12.0,1049,1.6
26.1,1457,5.5
21.4,1334,4.1
9.5,959,1.7
8.5,921,1.8
3.0,651,0.6
2.0,582,0.9
12.0,1051,1.9
3.8,702,0.6
3.3,673,1.1
3.5,681,1.1
4.3,727,1.3
2.7,635,0.9
0.6,449,0.4
2.3,602,0.9
2.9,644,0.6
2.3,608,1.2
14.8,1143,2.6
8.8,933,1.9
11.7,1041,2.1
8.6,924,2.3
5.6,791,0.7
20.1,1298,2.6
14.2,1123,2.7
3.6,689,0.9
28.4,1514,5.7
10.7,1003,1.9
13.2,1091,1.8
5.2,771,0.8
21.3,1333,4.5
6.8,849,1.1
3.6,685,1.0
13.8,1109,2.6
10.0,976,2.1
8.5,919,3.4
11.7,1040,2.4
6.4,828,1.6
20.6,1312,3.2
9.7,966,2.2
11.3,1024,2.4
14.3,1126,3.3
7.1,861,0.9
5.5,788,0.9
2.5,621,0.7
20.2,1303,3.6
25.9,1451,4.4
6.4,829,1.3
2.2,597,0.2
15.2,1156,3.6
2.6,628,0.8
8.1,903,1.4
8.5,919,7.3
5.1,769,1.5
8.5,919,2.4
16.5,1196,4.3
10.0,979,2.3
8.3,911,1.6
27.1,1483,4.8
9.1,942,1.6
9.5,959,1.6
6.5,835,4.3
4.8,754,0.3
2.0,587,0.6
1.5,541,0.7
5.4,783,1.0
20.6,1313,3.4
8.5,919,0.7
7.0,855,1.8
4.1,715,1.8
9.8,971,2.1
12.4,1064,2.5
11.3,1025,2.9
7.2,866,2.3
10.5,995,2.2
15.9,1178,3.8
14.2,1124,2.1
8.5,919,4.5
8.5,919,0.7
6.4,832,1.2
6.2,822,1.0
2.7,635,1.0
2.6,626,0.8
27.2,1483,5.1
14.3,1126,2.6
18.0,1241,3.5
9.7,967,2.3
6.6,840,1.6
3.3,671,0.8
12.5,1066,3.2
8.4,917,1.9
4.3,728,1.1
8.5,919,2.4
4.3,725,1.1
3.3,673,1.3
13.4,1097,2.1
4.7,750,0.6
2.0,588,0.3
4.4,734,0.9
6.1,815,1.7
1.3,530,0.6
7.9,894,1.6
19.8,1290,4.6
9.5,958,1.5
2.4,616,0.4
7.4,873,2.3
19.9,1294,4.6
24.2,1410,5.0
15.3,1158,2.1
6.0,811,1.0
14.6,1136,2.1
8.5,919,2.7
10.8,1007,2.7
21.0,1324,2.6
17.5,1225,3.5
5.6,795,1.3
5.1,768,1.0
15.3,1157,3.0
7.9,897,1.8
8.5,919,9.1
10.0,978,2.3
13.2,1090,2.2
13.3,1094,2.5
3.4,677,0.8
14.8,1142,3.1
13.8,1111,2.8
14.0,1117,3.3
5.5,788,1.7
8.2,907,1.3
8.5,921,1.6
24.0,1405,4.5
18.2,1246,3.9
11.0,1014,2.4
2.9,646,0.9
20.4,1309,4.5
3.0,649,1.1
4.1,718,1.3
23.4,1387,4.2
6.2,820,1.9
4.3,725,0.7
5.1,767,0.3
49.5,1959,10.2
11.4,1029,2.4
6.8,848,1.2
10.2,985,1.9
3.7,692,1.2
0.6,458,0.3
14.3,1127,3.5
21.8,1345,3.5
22.4,1363,5.5
7.3,869,1.3
6.4,832,1.5
8.1,903,2.6
8.7,927,1.5
8.1,905,1.7
3.9,706,1.0
15.5,1164,4.2
8.0,899,2.0
4.4,730,0.7
7.2,866,1.1
27.8,1498,5.6
15.8,1173,3.2
2.7,636,1.0
2.1,593,0.7
8.5,919,1.4
11.8,1043,2.5
11.5,1033,2.3
8.5,919,1.7
11.9,1047,2.7
3.6,690,1.1
17.4,1221,3.3
7.6,882,1.4
12.9,1082,2.8
5.6,795,0.5
5.3,779,1.1
26.4,1463,4.3
25.7,1446,4.4
14.4,1131,3.0
2.5,618,1.1
23.7,1395,4.4
8.9,934,1.7
5.9,807,1.7
16.2,1187,4.4
8.7,928,2.3
25.4,1438,6.3
13.4,1096,2.6
2.0,584,0.5
24.3,1412,5.0
3.8,698,1.1
12.5,1068,3.0
7.3,871,1.2
5.4,783,1.3
12.2,1055,1.7
8.5,919,5.4
6.7,845,1.6
28.3,1510,6.5
6.1,816,1.3
11.8,1042,2.2
11.7,1041,2.1
7.5,878,1.2
17.3,1219,2.9
8.9,935,2.2
11.1,1020,2.8
8.5,919,2.3
4.2,724,0.7
17.6,1229,3.6
4.5,738,0.7
8.1,903,1.3
28.8,1522,4.4
7.4,875,1.6
5.7,797,2.0
3.6,686,1.4
7.1,862,1.2
8.1,905,2.5
5.8,805,1.1
8.5,919,3.3
1.7,558,0.4
9.5,958,1.7
5.9,807,2.5
11.6,1036,3.3
11.6,1037,2.4
10.2,984,1.7
13.4,1096,2.5
2.5,620,0.7
11.0,1015,2.5
6.6,838,1.5
12.7,1075,2.7
5.7,796,1.1
12.6,1069,2.3
3.6,688,0.9
12.4,1063,4.1
32.9,1617,5.8
35.8,1682,6.6
9.8,969,1.9
3.7,695,1.1
5.4,786,1.4
37.6,1720,6.9
11.6,1035,2.0
6.9,851,1.6
5.1,769,1.3
33.4,1628,5.9
25.2,1434,3.6
6.4,830,1.1
25.0,1430,4.4
2.5,616,0.8
0.7,473,0.3
1.8,571,0.6
5.0,763,1.4
9.6,962,1.5
8.5,919,2.3
13.0,1083,2.3
21.1,1327,3.1
14.8,1142,4.0
9.6,964,2.9
10.8,1008,4.1
11.2,1020,1.9
0.6,458,0.4
17.7,1231,4.1
9.7,966,2.2
20.9,1320,3.6
10.9,1011,1.9
2.4,614,1.0
7.8,893,1.9
1.0,502,0.4
3.4,679,1.2
3.5,681,0.6
3.1,661,1.1
9.0,940,1.9
12.2,1056,2.1
2.5,621,0.6
9.7,965,1.6
3.2,664,0.9
2.6,626,0.4
21.3,1331,4.3
25.7,1446,5.6
8.7,929,1.5
19.5,1283,2.7
8.5,919,4.9
16.7,1200,2.9
5.5,787,1.0
19.3,1277,3.8
4.1,714,1.5
13.5,1099,2.8
17.7,1231,3.3
6.7,842,1.5
18.0,1241,2.9
5.5,790,1.4
3.6,686,2.7
4.2,721,0.8
8.7,929,1.6
1.2,515,0.5
37.2,1712,8.7
22.9,1375,7.9
22.7,1371,5.9
5.1,766,1.4
1.7,561,0.8
5.8,802,1.7
4.4,735,0.9
5.6,793,1.9
7.9,895,1.6
20.0,1297,5.5
4.0,713,0.9
10.9,1009,2.0
20.9,1320,4.6
13.9,1113,2.8
8.2,906,1.5
4.7,747,0.7
8.2,907,2.5
2.5,619,0.7
4.6,744,1.1
3.0,654,0.5
16.0,1181,3.0
7.4,875,1.7
8.5,919,0.6
3.4,676,0.5
5.3,776,0.9
2.7,632,0.7
8.5,918,1.3
2.4,611,0.5
15.7,1171,2.8
8.5,919,2.2
12.1,1055,2.7
6.9,853,1.9
17.6,1228,2.8
9.7,966,2.1
6.5,835,0.6
8.3,912,2.1
16.0,1181,3.3
0.4,431,0.4
8.5,919,1.1
17.9,1238,4.0
6.7,845,1.0
3.8,699,0.9
15.9,1177,2.6
17.4,1222,3.3
4.2,724,0.7
11.4,1027,2.8
12.1,1055,2.5
12.8,1078,3.3
11.6,1037,2.9
14.4,1129,2.2
10.5,995,3.3
2.8,642,0.8
11.7,1039,2.7
13.8,1111,3.6
14.5,1131,3.3
17.4,1223,3.8
7.8,890,1.7
14.1,1119,2.7
28.0,1504,4.2
9.7,967,1.6
21.0,1325,3.8
4.0,708,0.8
23.1,1379,4.3
19.0,1268,3.2
6.5,833,1.2
8.5,919,0.7
12.2,1056,2.0
7.1,861,0.9
10.2,986,2.1
9.1,943,2.2
30.1,1552,4.5
16.3,1188,4.1
6.3,826,1.6
2.9,649,1.5
